字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11
300****607,5分 超棒,喜欢熊猫的人一定不要错过，应该是世界上熊猫最多、质量最好的地方了！各种熊猫，懒懒的大熊猫躺着吃竹笋，中熊猫活泼好动，还能爬树，萌萌的幼年大熊猫象汤圆一样趴着，基本不动，动只能像虫子一样蠕动，可爱极了，还看到一只熊猫妈妈带两只宝宝，两个宝宝一直缠着妈妈打闹，摔跤。景区还有小熊猫，不是幼年大熊猫哦，也很漂亮可爱，好动。每只熊猫都是膘肥体壮，胖乎乎很可爱，一看就过的巴适！还有好多可以喂食的黑天鹅，到我的手里啄食。散养了一些孔雀，偶尔会看到。景区服务中心可以免费寄存行李，我到了才看到，害我没敢把行李带来。园区不大，但环境不错，熊猫迷不要错过！,2016-10-01IP属地：未知,IP属地：未知,"
11",,2016-10-01IP属地：未知,IP属地：未知,"
11",
总锦鲤,5分 超棒,不吃火锅不看大熊猫繁育研究基地等于没来成都。记得一定要早起早到，才能看见憨态可掬的大熊猫，去晚了他们就要午休了。我怀疑熊猫能听懂四川话 实在是太有趣了 值得来体验,2022-01-07IP属地：未知,IP属地：未知,"
点赞",,2022-01-07IP属地：未知,IP属地：未知,"
点赞",
ρеиg🤫,5分 超棒,好玩。小熊猫很可爱。路上行人很多。大熊猫追逐的。灵活的胖熊猫🐼。有机会会再去,2021-12-15IP属地：未知,IP属地：未知,"
点赞",,2021-12-15IP属地：未知,IP属地：未知,"
点赞",
老白_涮肉坊,5分 超棒,"有景区直通车可以直达 挺好玩的哈哈哈 
大熊猫又可爱又脏脏的  早上去比较好 
园内路线安排也很合理
不然白天很多不愿意好好营业哈哈哈",2021-10-17IP属地：未知,IP属地：未知,"
点赞",,2021-10-17IP属地：未知,IP属地：未知,"
点赞",
cuteqinzi,3分 不错,熊猫还是挺不错的 唯一就是景区厕所真的需要改造哈 都是起早床来的，一个厕所就两三个坑 排队排到怀疑人生，男厕女厕都要排 碰到个男的拉肚子的真的是要崩溃了 这么大个景区就不能把厕所最大点，坑位多点 每个厕所排长龙,2021-10-09IP属地：未知,IP属地：未知,"
点赞",,2021-10-09IP属地：未知,IP属地：未知,"
点赞",
M21****142,4分 满意,基本没见到熊猫幼崽，可能是运气差吧。 电瓶车太少，明明人并不多，却要等很久。 总体还是不错的，对孩子很有吸引力，值得游玩。,2021-10-06IP属地：未知,IP属地：未知,"
点赞",,2021-10-06IP属地：未知,IP属地：未知,"
点赞",
michael jia,5分 超棒,非常不错的旅游，性价比很高，国庆节看的,2021-10-06IP属地：未知,IP属地：未知,"
点赞",,2021-10-06IP属地：未知,IP属地：未知,"
点赞",
铛璞铃joye,5分 超棒,鼎鼎大名的成都大熊猫繁育研究基地是每一个外地人到成都必须打卡的地方，这里环境优美，面积很大，想要逛完是很需要毅力的，不过没关系团子的吸引力是会化解身体的疲惫。,2021-07-28IP属地：未知,IP属地：未知,"
点赞",,2021-07-28IP属地：未知,IP属地：未知,"
点赞",
闵行亮剑,5分 超棒,去成都大熊猫基地一定要早于8点前到，晚了人比较多游览车要排队好长，熊猫们憨态可掬睡懒觉爬树啃竹子各式各样，相比一般动物园只能两三只大熊猫，这里可是熊猫乐园了。,2021-07-25IP属地：未知,IP属地：未知,"
点赞",,2021-07-25IP属地：未知,IP属地：未知,"
点赞",
闵行亮剑,5分 超棒,去成都大熊猫基地一定要早于8点前到，晚了人比较多游览车要排队好长，熊猫们憨态可掬睡懒觉爬树啃竹子各式各样，相比一般动物园只能两三只大熊猫，这里可是熊猫乐园了。,2021-07-25IP属地：未知,IP属地：未知,"
点赞",,2021-07-25IP属地：未知,IP属地：未知,"
点赞",
闵行亮剑,5分 超棒,去成都大熊猫基地一定要早于8点前到，晚了人比较多游览车要排队好长，熊猫们憨态可掬睡懒觉爬树啃竹子各式各样，相比一般动物园只能两三只大熊猫，这里可是熊猫乐园了。,2021-07-25IP属地：未知,IP属地：未知,"
点赞",,2021-07-25IP属地：未知,IP属地：未知,"
点赞",
闵行亮剑,5分 超棒,去成都大熊猫基地一定要早于8点前到，晚了人比较多游览车要排队好长，熊猫们憨态可掬睡懒觉爬树啃竹子各式各样，相比一般动物园只能两三只大熊猫，这里可是熊猫乐园了。,2021-07-25IP属地：未知,IP属地：未知,"
点赞",,2021-07-25IP属地：未知,IP属地：未知,"
点赞",
闵行亮剑,5分 超棒,去成都大熊猫基地一定要早于8点前到，晚了人比较多游览车要排队好长，熊猫们憨态可掬睡懒觉爬树啃竹子各式各样，相比一般动物园只能两三只大熊猫，这里可是熊猫乐园了。,2021-07-25IP属地：未知,IP属地：未知,"
点赞",,2021-07-25IP属地：未知,IP属地：未知,"
点赞",
闵行亮剑,5分 超棒,去成都大熊猫基地一定要早于8点前到，晚了人比较多游览车要排队好长，熊猫们憨态可掬睡懒觉爬树啃竹子各式各样，相比一般动物园只能两三只大熊猫，这里可是熊猫乐园了。,2021-07-25IP属地：未知,IP属地：未知,"
点赞",,2021-07-25IP属地：未知,IP属地：未知,"
点赞",
闵行亮剑,5分 超棒,去成都大熊猫基地一定要早于8点前到，晚了人比较多游览车要排队好长，熊猫们憨态可掬睡懒觉爬树啃竹子各式各样，相比一般动物园只能两三只大熊猫，这里可是熊猫乐园了。,2021-07-25IP属地：未知,IP属地：未知,"
点赞",,2021-07-25IP属地：未知,IP属地：未知,"
点赞",
闵行亮剑,5分 超棒,去成都大熊猫基地一定要早于8点前到，晚了人比较多游览车要排队好长，熊猫们憨态可掬睡懒觉爬树啃竹子各式各样，相比一般动物园只能两三只大熊猫，这里可是熊猫乐园了。,2021-07-25IP属地：未知,IP属地：未知,"
点赞",,2021-07-25IP属地：未知,IP属地：未知,"
点赞",
璐璐女生,5分 超棒,大熊猫憨态可掬，今天娃起晚了，下次争取早上七点多进园，这样就能看到大熊猫早上的活动了，吃竹子呀，游戏呀，爬树呀…… 里面的博物馆一定要去，很有意义 还会带娃再来的,2021-07-06IP属地：未知,IP属地：未知,"
点赞",,2021-07-06IP属地：未知,IP属地：未知,"
点赞",
EmmaHuang77,5分 超棒,去的时候遇到了下雨，没有看到小熊猫，但大熊猫在雨里依然很活跃，超可爱。基地很大，感觉比一般的动物园大了很多，要花大半天的时间才够，停车场稍微有些远，但还算好停,2021-06-15IP属地：未知,IP属地：未知,"
点赞",,2021-06-15IP属地：未知,IP属地：未知,"
点赞",
小猴子的影子,5分 超棒,从酒店旁边春熙路坐熊猫五线直接到景区门口，往返19元，很方便。熊猫很可爱，可能是去的有点晚，熊猫都睡了，推荐理由：有趣好玩，性价比高，总体超赞，景色不错，好玩,2021-05-16IP属地：未知,IP属地：未知,"
点赞",,2021-05-16IP属地：未知,IP属地：未知,"
点赞",
江户川区周瑜,5分 超棒,挺不错看大熊猫 基本每个时间段都可以看到，里面还是比较大的，逛完还可以去参观博物馆 很舒服，体验感满分，值得去一次，交通也很方便，景色不错，总体超赞，有趣好玩，。,2021-05-16IP属地：未知,IP属地：未知,"
点赞",,2021-05-16IP属地：未知,IP属地：未知,"
点赞",
E02****86,5分 超棒,第一次看熊猫，大熊猫大都在睡懒觉，小熊猫比较活跃！园区里到处都是竹子，植被也很丰富，天然养吧一样的，还有其它小动物活跃，还有孔雀在路上自由漫步，值得去看看的。,2020-11-27IP属地：未知,IP属地：未知,"
点赞",,2020-11-27IP属地：未知,IP属地：未知,"
点赞",
五月黎明,5分 超棒,熊猫很可爱，虽然去的晚一点，很多熊猫在睡觉，还是看到了可爱的熊猫，特别还有两个放在篮子的的熊猫幼崽。缺点是树太多看的不太清楚，熊猫博物馆里的3D影片也恨好看。,2020-11-09IP属地：未知,IP属地：未知,"
点赞",,2020-11-09IP属地：未知,IP属地：未知,"
点赞",
melody-chen,5分 超棒,体验很好，看到了可爱呆萌的大熊猫，值得推荐，虽然在郊区，但是交通非常方便，地铁乘到熊猫大道站，下来就可以看到大巴车，2块钱到熊猫繁育基地，非常方便。值得推荐。,2020-09-19IP属地：未知,IP属地：未知,"
点赞",,2020-09-19IP属地：未知,IP属地：未知,"
点赞",
sunnyscott,5分 超棒,网上购票，扫码入场非常方便快捷! 熊猫太可爱了~ 不管是大熊猫还是小熊猫 睡觉觉的熊猫 吃竹子的熊猫 打群架的熊猫 🐼国宝😘,2022-02-08IP属地：未知,IP属地：未知,"
点赞",,2022-02-08IP属地：未知,IP属地：未知,"
点赞",
M46****6018,5分 超棒,很值得，很喜欢！第一次见真正的大熊猫,2022-01-03IP属地：未知,IP属地：未知,"
点赞",,2022-01-03IP属地：未知,IP属地：未知,"
点赞",
M63****19,4分 满意,今天赶时间，去了半天中午急着走，觉得还行的，小孩看还是可以，不过我儿子不是很感兴趣。观光车十块钱觉得性价比还是蛮高。,2021-10-31IP属地：未知,IP属地：未知,"
点赞",,2021-10-31IP属地：未知,IP属地：未知,"
点赞",
厌烦下雨天,5分 超棒,成都必须去的一站，国宝真的太可爱啦！,2021-10-17IP属地：未知,IP属地：未知,"
点赞",,2021-10-17IP属地：未知,IP属地：未知,"
点赞",
_WeCh****950533,5分 超棒,今天真幸运，遇到了尹导带我们去熊猫馆和三星堆。尹导非常认真负责，参观环节设计非常合理，尤其是三星堆，全程带着我们边走边看边讲解。全程紧凑但不累人，收获满满。,2021-07-26IP属地：未知,IP属地：未知,"
点赞",,2021-07-26IP属地：未知,IP属地：未知,"
点赞",
姚大大,5分 超棒,疫情之间去，人还是很多。顶着烈日排队半个钟。就为了看一只懒羊羊的国宝。萌萌哒,2021-07-04IP属地：未知,IP属地：未知,"
点赞",,2021-07-04IP属地：未知,IP属地：未知,"
点赞",
杨杨,5分 超棒,园内风景很棒，玫瑰苑的花全都盛开非常漂亮，早上去的熊猫都很活泼好动，接近中午都在睡大觉了还是要早点去最好，我们逛完整个园区用了三四个小时，整体感觉还是超赞的,2021-05-13IP属地：未知,IP属地：未知,"
点赞",,2021-05-13IP属地：未知,IP属地：未知,"
点赞",
M31****4948,5分 超棒,总体超赞，有趣好玩，景色不错，2月末早上去的，熊猫很多，都很有精神，学生票很划算。就是交通有点远。景区很干净，都有工作人员打扫。总之很值得去看看国宝大熊猫。,2021-03-11IP属地：未知,IP属地：未知,"
点赞",,2021-03-11IP属地：未知,IP属地：未知,"
点赞",
M22****7704,5分 超棒,有趣好玩，景色不错，总体超赞，性价比高，很多小惊喜出现。其实体力好不坐车也行，一路上的景色都挺好，就当爬爬山，另外我们到的时候十点多了，很多大熊猫就摊那睡觉,2020-12-03IP属地：未知,IP属地：未知,"
点赞",,2020-12-03IP属地：未知,IP属地：未知,"
点赞",
M22****7704,5分 超棒,总体超赞，景色不错，有趣好玩，性价比高，很多小惊喜出现。其实体力好不坐车也行，一路上的景色都挺好，就当爬爬山，另外我们到的时候十点多了，很多大熊猫就摊那睡觉,2020-12-03IP属地：未知,IP属地：未知,"
点赞",,2020-12-03IP属地：未知,IP属地：未知,"
点赞",
_WeCh****188371,5分 超棒,感觉园林设计的很合理，不走回头路，都说下午去熊猫比较懒，我们看了一个下午的熊猫打架，真是大开眼界，太萌了！值得推荐，体验很好，有趣好玩，,2020-10-17IP属地：未知,IP属地：未知,"
1",,2020-10-17IP属地：未知,IP属地：未知,"
1",
公公乐鸭精,5分 超棒,小熊猫太可爱了，我还没摸过小熊猫呢,2021-10-30IP属地：未知,IP属地：未知,"
点赞",,2021-10-30IP属地：未知,IP属地：未知,"
点赞",
M31****0306,5分 超棒,大熊猫非常可爱。幼崽熊猫也非常可爱,2021-10-22IP属地：未知,IP属地：未知,"
点赞",,2021-10-22IP属地：未知,IP属地：未知,"
点赞",
Kevinchai0110,5分 超棒,大熊猫很可爱，交通也方便，人也不多,2021-10-08IP属地：未知,IP属地：未知,"
点赞",,2021-10-08IP属地：未知,IP属地：未知,"
点赞",
grim_lan,5分 超棒,熊猫太可爱了，网上订票也很方便，去的早等开门也很多人，建议大家走路就好，不然排队等观光车就很多人，不要太热的时候去，熊猫太热也不出来，熊猫的叫声也很可爱！,2021-07-07IP属地：未知,IP属地：未知,"
点赞",,2021-07-07IP属地：未知,IP属地：未知,"
点赞",
无影鼠,5分 超棒,来成都肯定得来看看可爱的大熊猫。今天虽然气温很高，很热。但这里的气候环境真的很好，景区里凉风习习很舒服。吃的东西也不贵。但景区直通车的乘车环境还有待改善。,2021-06-29IP属地：未知,IP属地：未知,"
点赞",,2021-06-29IP属地：未知,IP属地：未知,"
点赞",
花椒鱼plus,5分 超棒,非常值得一看。不仅有大大小小可可爱爱憨憨厚厚的大熊猫。整个园林空气好环境优美。有山有水，高低错落，并伴随着鸟语花香。尤其是在清晨进园更是能呼吸优质新鲜空气,2021-05-30IP属地：未知,IP属地：未知,"
点赞",,2021-05-30IP属地：未知,IP属地：未知,"
点赞",
M22****0636,5分 超棒,熊猫繁育基地环境优美，空气清新，关键是熊猫太可爱了，憨态可掬，或动或静都让人喜爱，不愧是我们的“国宝”，游览途中就迫不及待的推荐给朋友了，有机会还会再来！,2021-05-24IP属地：未知,IP属地：未知,"
点赞",,2021-05-24IP属地：未知,IP属地：未知,"
点赞",
艳屹,5分 超棒,熊猫🐼基地值得打卡，熊猫宝宝超级可爱啦，里面的环境真的很好，有趣好玩，我们玩的不想走了，景色不错，空气质量很好，性价比高，值得去看看熊猫宝宝，总体超赞，,2021-05-21IP属地：未知,IP属地：未知,"
点赞",,2021-05-21IP属地：未知,IP属地：未知,"
点赞",
M28****0185,5分 超棒,好多的大熊猫，太可爱了，一下子看了这么多，来晚了，大部分在睡觉，真的很能睡啊，各种姿势都有，好玩，吃起竹子🎍很香哦，看到一只吃完翻个身就睡了，没有一丝丝防备哈哈哈😁有趣好玩，总体超赞，很好！,2020-12-04IP属地：未知,IP属地：未知,"
点赞",,2020-12-04IP属地：未知,IP属地：未知,"
点赞",
像路人一样路过,5分 超棒,还行，女朋友想要去看大熊猫，然后就去买票了，去的路上还是有点距离，但是中途感觉还行，大熊猫非常可爱，园子也很大，我们大概逛了两三个小时,2020-11-08IP属地：未知,IP属地：未知,"
1",,2020-11-08IP属地：未知,IP属地：未知,"
1",
M30****384,5分 超棒,熊猫基地很大，可以玩一天，我们因为下午赶火车，所以快马加鞭的转了一圈，里面的国宝熊猫们都懒懒的在睡觉，因为国庆游客超级多，但工作人员维持秩序，还是很和谐景色不错，有趣好玩，值得推荐，体验很好，的,2020-10-07IP属地：未知,IP属地：未知,"
点赞",,2020-10-07IP属地：未知,IP属地：未知,"
点赞",
愁久骑士,5分 超棒,熊猫真的是太可爱了，就是有时候会看不到熊猫，如果他在睡觉的话货者躲起来，路程比较唱，人多的话确实很挤，匆匆忙忙的，单总体来说对于熊猫迷门是不可以错过的！！,2020-10-02IP属地：未知,IP属地：未知,"
点赞",,2020-10-02IP属地：未知,IP属地：未知,"
点赞",
M25****998,5分 超棒,离市区很近，10公里，半小时左右能到。10点多到的，熊猫已经进完食了，大部分熊猫都一动不动了。早点去会比较好玩噢。全部游完大概3~4个小时左右，慢慢悠悠。,2020-10-01IP属地：未知,IP属地：未知,"
点赞",,2020-10-01IP属地：未知,IP属地：未知,"
点赞",
M42****968,5分 超棒,超级可爱的熊猫，感觉在园区里呆一天都ok，看国宝啃竹子都可以看半天。因为稍微在郊区，所以需要去早一些，可以看见活波的熊猫宝宝，园区内环境很好很适合全家游览,2020-09-27IP属地：未知,IP属地：未知,"
点赞",,2020-09-27IP属地：未知,IP属地：未知,"
点赞",
就这只,5分 超棒,有趣好玩，值得推荐，体验很好，中午入园，看了四小时吃播，主播很可爱。除了大熊猫，还有不怕人的孔雀，不怕人的小熊猫，天鹅湖里的天鹅，当然最多的是怕熊猫的人。,2020-09-18IP属地：未知,IP属地：未知,"
点赞",,2020-09-18IP属地：未知,IP属地：未知,"
点赞",
梓潼齐桓公,2分 一般,分新区老区区间车花两次钱，车少人多等不上。熊猫很少，很多场馆都在维护，也就看见7-8只熊猫，体验极差...来的旅游专线挺便宜，也方便，车上配的讲解员很棒,2022-07-16IP属地：未知,IP属地：未知,"
点赞",,2022-07-16IP属地：未知,IP属地：未知,"
点赞",
kl.,5分 超棒,地盘有点大，尽量早晨过去能转完！,2022-01-18IP属地：未知,IP属地：未知,"
点赞",,2022-01-18IP属地：未知,IP属地：未知,"
点赞",
yamipan,5分 超棒,可爱可爱可爱！下次再去看福多多！,2021-12-31IP属地：未知,IP属地：未知,"
点赞",,2021-12-31IP属地：未知,IP属地：未知,"
点赞",
M50****286,5分 超棒,景区距离市区稍微有点远 不过特别棒 地方很大 看大熊猫得凭运气 有时候在室内有时候在室外 真的可爱了 大熊猫基地特别值得一去,2021-10-01IP属地：未知,IP属地：未知,"
点赞",,2021-10-01IP属地：未知,IP属地：未知,"
点赞",
_M13****0113,5分 超棒,总体超赞，有趣好玩，不愧国宝，大熊猫比较贪吃，小熊猫比较贪玩，都是非常可爱，博物馆也非常有趣，就是从景区出来的时候人太多，不好打车，公交车站也比较混乱。,2021-05-20IP属地：未知,IP属地：未知,"
点赞",,2021-05-20IP属地：未知,IP属地：未知,"
点赞",
戒不掉你的温柔丶,5分 超棒,来成都大熊猫肯定是必看的，毕竟是国宝，以前总在电视上看，这次能在现实中看到真的特开心。唯一可惜的就是去的太晚了大熊猫产房不让进了，下次再去的时候早晨去。,2021-03-07IP属地：未知,IP属地：未知,"
点赞",,2021-03-07IP属地：未知,IP属地：未知,"
点赞",
太阳都不够我热,5分 超棒,建议早点去 人很多，早点可以看到小熊猫的几率大，也可以看到大熊猫吃早餐的时候，晚去的话都在睡觉 没什么有趣的可以看。里面熊猫很多 太可爱了 还有黑白天鹅 孔雀 鸳鸯,2021-02-16IP属地：未知,IP属地：未知,"
点赞",,2021-02-16IP属地：未知,IP属地：未知,"
点赞",
_WeCh****684497,5分 超棒,熊猫基地里面的熊猫真的是可爱的不要不要的！真的好适合去看着她，治愈一天！爬树，打滚，吃竹子。,2021-01-12IP属地：未知,IP属地：未知,"
1",,2021-01-12IP属地：未知,IP属地：未知,"
1",
_M13****8593,5分 超棒,大熊猫太可爱了，可是老是用pp对着人群，还有只知道睡懒觉，也害羞的很。每天的主持熊猫都不一样，分不清谁是谁。其他都好，就是熊猫有点脏，可能是刚下雨不久。,2020-11-05IP属地：未知,IP属地：未知,"
点赞",,2020-11-05IP属地：未知,IP属地：未知,"
点赞",
qtrqqcl,5分 超棒,国宝“熊猫”，萌萌哒，太可爱了,2022-01-31IP属地：未知,IP属地：未知,"
点赞",,2022-01-31IP属地：未知,IP属地：未知,"
点赞",
子琪回家啦,4分 满意,没啥 就是熊猫太可爱了 还是要夏天去比较好 熊猫宝宝会在6-9月之间出生 冬天去看不到熊猫宝宝了 然后熊猫也太懒了 我们两个人看了半个小时 就看他们啃竹子 一动不动的,2022-01-10IP属地：未知,IP属地：未知,"
点赞",,2022-01-10IP属地：未知,IP属地：未知,"
点赞",
_WeCh****393053,5分 超棒,不错不错，熊猫很可爱，太好玩了,2022-01-03IP属地：未知,IP属地：未知,"
点赞",,2022-01-03IP属地：未知,IP属地：未知,"
点赞",
珵妈妈,5分 超棒,澳门美狮高梅，一家有温度的地方,2021-12-08IP属地：未知,IP属地：未知,"
点赞",,2021-12-08IP属地：未知,IP属地：未知,"
点赞",
qtrqqcl,5分 超棒,看大熊猫萌萌地啃竹子，好有趣啊,2021-10-29IP属地：未知,IP属地：未知,"
点赞",,2021-10-29IP属地：未知,IP属地：未知,"
点赞",
E24****21,5分 超棒,去了多久下了多久的暴雨！只怪运气不佳，不过熊猫真的是不怕下雨，雨天去的朋友们不用担心，熊猫们全部正常露天展出。,2021-09-18IP属地：未知,IP属地：未知,"
点赞",,2021-09-18IP属地：未知,IP属地：未知,"
点赞",
M25****2735,5分 超棒,特意在基地边上租房子，就为了看猫方便！现在基地里的大熊猫我几乎都能叫出他们的名字！因为太爱他们了，太喜欢他们了！每天看不到他们就觉得生活中缺少了什么！,2021-07-28IP属地：未知,IP属地：未知,"
点赞",,2021-07-28IP属地：未知,IP属地：未知,"
点赞",
哇～哈哈🙋,5分 超棒,真是神仙打架啊，哈哈哈居然看到了熊猫打架，这群憨憨太可爱了，雨中坚持营业，必须大大的好评 走在密密的竹林里，呼吸新鲜空气，体验感完美，特别适合带小朋友来,2021-06-20IP属地：未知,IP属地：未知,"
点赞",,2021-06-20IP属地：未知,IP属地：未知,"
点赞",
祥源酒水批发风干牛肉,5分 超棒,非常满意的一次旅行，景色很美，大熊猫超级可爱，建议早上七点半之前到景点，大熊猫早餐时间，非常憨态可掬，超级萌。总体超赞，性价比高，有趣好玩，景色不错，,2021-04-07IP属地：未知,IP属地：未知,"
点赞",,2021-04-07IP属地：未知,IP属地：未知,"
点赞",
周游世界的小熊猫,5分 超棒,我大滚滚萌翻宇宙！！大团子小团子都太可爱了 心都要化了！！！ 景区里还有天鹅 小熊猫 有只孔雀不知道怎么搞的还跑到游客休息区去了 ps. 就是纪念币的自动贩卖机不太好用 没买到纪念币有点遗憾 下回再去买吧～,2020-11-21IP属地：未知,IP属地：未知,"
点赞",,2020-11-21IP属地：未知,IP属地：未知,"
点赞",
M13****908,5分 超棒,有趣好玩，熊猫🐼可爱极了，特别是熊猫宝宝互动打架玩耍，非常呆萌。野看到熊猫的繁殖过程的不易，工作人员付出了多大的努力，才让我们看到这么多可爱的熊猫。,2020-11-03IP属地：未知,IP属地：未知,"
点赞",,2020-11-03IP属地：未知,IP属地：未知,"
点赞",
_CFT0****1937,5分 超棒,早上八点到了景区，做景区的车到的月亮产房，看到的熊猫还是蛮多的，还有小熊猫，都很可爱，路边还有一只孔雀，总的来说还是很好的一个景区景色不错，值得推荐，,2020-09-19IP属地：未知,IP属地：未知,"
点赞",,2020-09-19IP属地：未知,IP属地：未知,"
点赞",
天草二十六,5分 超棒,熊猫真的太可爱了😁😁😁,2022-02-04IP属地：未知,IP属地：未知,"
点赞",,2022-02-04IP属地：未知,IP属地：未知,"
点赞",
M47****353,5分 超棒,见到好多熊猫小熊猫～太治愈了,2021-12-12IP属地：未知,IP属地：未知,"
点赞",,2021-12-12IP属地：未知,IP属地：未知,"
点赞",
菅跃平,5分 超棒,当然值得一去，大成都除了火锅不就是熊猫咯！火锅底料可以带走，熊猫又搬不走只能竭尽所能饱饱眼福咯！园子里树木密度很大，天然氧吧没的说，熊猫也很可爱很治愈，熊猫宝宝特别推荐大家去看！蠢萌蠢萌的,2021-07-29IP属地：未知,IP属地：未知,"
点赞",,2021-07-29IP属地：未知,IP属地：未知,"
点赞",
薄荷里奥里,4分 满意,就是为了看大熊猫而去的地方，也没什么特别特别的。大熊猫蛮可爱的，去的时候要赶着上午，最好还是下着小雨的时候，这样看到的几率会更大,2021-07-23IP属地：未知,IP属地：未知,"
1",,2021-07-23IP属地：未知,IP属地：未知,"
1",
璐璐女生,5分 超棒,建议早上七点入园，可以看到大熊猫早上的活动。门口的电瓶车如果排队人很多，不建议坐。里面不是很大，而且竹子很多，很凉快。走路10分钟左右就能看到熊猫。,2021-07-06IP属地：未知,IP属地：未知,"
点赞",,2021-07-06IP属地：未知,IP属地：未知,"
点赞",
_cft01****1910865,5分 超棒,带孩子来玩还是很不错的，熊猫好可爱，一定要早点来，我们8点左右已经在排队了😄排队坐观光车，10元一人，一直坐到月亮产房，然后慢慢走回来这样最好😂,2021-07-04IP属地：未知,IP属地：未知,"
点赞",,2021-07-04IP属地：未知,IP属地：未知,"
点赞",
就像猫爱鱼,5分 超棒,熊猫太可爱啦，去了好几次，建议上午去看，熊猫都在吃饭和玩闹，很可爱，中午开始陆续就在睡觉了，下午去就算有没睡的也就那一两个调皮的，所以一定要上午去啊,2021-06-27IP属地：未知,IP属地：未知,"
点赞",,2021-06-27IP属地：未知,IP属地：未知,"
点赞",
M55****726,5分 超棒,总体超赞，来成都必去打卡的地方，整体感觉很好，第一次近距离看熊猫，是个难得的机会有趣好玩，赶上熊猫比较活跃的时候，可以看到他们爬树，吃竹子，很有趣味,2021-03-27IP属地：未知,IP属地：未知,"
点赞",,2021-03-27IP属地：未知,IP属地：未知,"
点赞",
胡杨88,5分 超棒,环境优美，憨憨们非常可爱，尤其是月亮产房、太阳产房的小宝宝们。到的时间稍微晚了，憨憨们大部分吃完饭都在睡觉，和去睡觉的路上，不过仍然喜欢，没办法……,2020-11-01IP属地：未知,IP属地：未知,"
点赞",,2020-11-01IP属地：未知,IP属地：未知,"
点赞",
爱跳舞的一小只,5分 超棒,一大早6.30起床，7.30出门，8.00到达，不是节假日人也特别多，但是环境非常好，熊猫也很给力，虽然那么早也没有一直在睡觉，很活跃，棒棒哒...,2020-10-16IP属地：未知,IP属地：未知,"
点赞",,2020-10-16IP属地：未知,IP属地：未知,"
点赞",
andy_angel,5分 超棒,体验很好，值得推荐，有趣好玩，景色不错，朋友一起去的，萌萌的熊猫吃竹子，很可爱第一次知道了有个熊猫类别是小熊猫，不是熊猫的小时候,2020-10-10IP属地：未知,IP属地：未知,"
1",,2020-10-10IP属地：未知,IP属地：未知,"
1",
为了啊呆去流浪,5分 超棒,体验很好，有趣好玩，值得推荐，超级有趣，小熊猫很调皮，大熊猫都在很高的树上，还荡脚丫子，特别特别可爱，受不了了，国宝就是国宝，都把我萌化了。。。哈哈,2020-10-10IP属地：未知,IP属地：未知,"
点赞",,2020-10-10IP属地：未知,IP属地：未知,"
点赞",
我是钰瑶呀,5分 超棒,超级推荐，虽然国宝大多时候都以屁屁背对人，但是依然抵挡不住可爱呀 🐼,2020-10-08IP属地：未知,IP属地：未知,"
点赞",,2020-10-08IP属地：未知,IP属地：未知,"
点赞",
✨Mr.Lee🚀,3分 不错,我觉得一般吧，打卡地而已！,2022-03-13IP属地：未知,IP属地：未知,"
点赞",,2022-03-13IP属地：未知,IP属地：未知,"
点赞",
M53****006,5分 超棒,来四川必须去，熊猫太可爱了,2021-12-25IP属地：未知,IP属地：未知,"
点赞",,2021-12-25IP属地：未知,IP属地：未知,"
点赞",
M41****554,5分 超棒,小宝第一次见大熊猫，很开心,2021-12-14IP属地：未知,IP属地：未知,"
点赞",,2021-12-14IP属地：未知,IP属地：未知,"
点赞",
白头谐老,5分 超棒,太可爱了，不分年龄，都喜欢,2021-10-28IP属地：未知,IP属地：未知,"
点赞",,2021-10-28IP属地：未知,IP属地：未知,"
点赞",
小郁,5分 超棒,太可爱了，一个半小时差不多,2021-10-26IP属地：未知,IP属地：未知,"
点赞",,2021-10-26IP属地：未知,IP属地：未知,"
点赞",
子在好水川上曰,5分 超棒,滚滚/滚/滚滚，滚滚/滚滚,2021-09-15IP属地：未知,IP属地：未知,"
点赞",,2021-09-15IP属地：未知,IP属地：未知,"
点赞",
阿姿76,5分 超棒,下午4点才到，说5点停止进园。熊猫都萌萌哒可爱的很，就是没看到几只熊猫，挺遗憾的。下次有机会来成都再来游玩。文创产品着实太贵了！孩子买了两个笔袋+2只熊猫减压笔+1只竹子笔=120多元。,2021-07-31IP属地：未知,IP属地：未知,"
点赞",,2021-07-31IP属地：未知,IP属地：未知,"
点赞",
武汉鈊可,5分 超棒,其实就是一个公园，里面有几个熊猫宿舍，因为下午去的熊猫都睡着了，熊猫宝宝还是很可爱的，总体感觉带孩子去还是不错的。来成都的亲子游，建议还是去一下。,2021-07-23IP属地：未知,IP属地：未知,"
点赞",,2021-07-23IP属地：未知,IP属地：未知,"
点赞",
Jan1983,5分 超棒,早上就去，去晚了就只能看到吃饱喝足睡大觉的肥屁股。进园直接去月亮产房，有大有小，第二个室外场地是4～5个月的小宝宝的活动区域，大概要9点才会出来。,2020-12-01IP属地：未知,IP属地：未知,"
点赞",,2020-12-01IP属地：未知,IP属地：未知,"
点赞",
