 字段 1 , 字段 2 , 字段 3 , 字段 4 , 字段 5 , 字段 6 , 字段 7 , 字段 8 , 字段 9 , 字段 10 , 字段 11 
 小 喵 仙子 , 5 分   超棒 , 熊猫 太 可爱 了 ， 这次 去 时间 比较 紧张 ， 没有 排队 做景交车 ， 看 了 两个 熊猫馆 ， 两个 小 熊猫馆 ， 太 激动 了 ， 一直 在 拍 视频 。 没 看见 熊猫 宝宝 ， 下次 一定 要 玩个 几天 。 , 2021 - 11 - 17IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 11 - 17IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 X _ A _ , 5 分   超棒 , 一定 要 早上 去 ， 可以 看见 许多 大熊猫 ， 如果 去 晚 了 ， 熊猫 都 吃饱 了 就 睡觉 了 。 成都 大熊猫 繁育 研究 基地 ， 是 中国政府 实施 大熊猫 等 濒危 野生动物 迁地 保护 工程 的 主要 研究 基地 之一 ， 国家 AAAA 级 旅游 景区 。 , 2021 - 11 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 11 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 X _ A _ , 5 分   超棒 , 一定 要 早上 去 ， 可以 看见 许多 大熊猫 ， 如果 去 晚 了 ， 熊猫 都 吃饱 了 就 睡觉 了 。 成都 大熊猫 繁育 研究 基地 ， 是 中国政府 实施 大熊猫 等 濒危 野生动物 迁地 保护 工程 的 主要 研究 基地 之一 ， 国家 AAAA 级 旅游 景区 。 , 2021 - 11 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 11 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 288 * * * * 608 , 5 分   超棒 , 熊猫 乐园 相当 不错 ， 成都 是 旅游业 的 标杆 ， 旅游 交通 特别 便利 ， 天气 有雨 ， 但是 进入 景区 就 晴 了 ， 这点 非常 不错 。 成都 的 天气 是 湿热 的 ， 建议 易 出汗 的 多 带 衣服 。 , 2021 - 09 - 25IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 09 - 25IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 和政 华英雄 , 4 分   满意 , 这里 风景 很 不错 ， 适合 家人 朋友 游玩 ， 古迹 也 不错 ， 里边 游玩 项目 很少 ， 小孩子 只能 跟着 大人 观看 ， 好多 景点 现代 气息 很 重 ， 导游 介说 大 职业化 ， 反正 风景 很 好 ！ , 2021 - 09 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 09 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 和政 华英雄 , 4 分   满意 , 这里 风景 很 不错 ， 适合 家人 朋友 游玩 ， 古迹 也 不错 ， 里边 游玩 项目 很少 ， 小孩子 只能 跟着 大人 观看 ， 好多 景点 现代 气息 很 重 ， 导游 介说 大 职业化 ， 反正 风景 很 好 ！ , 2021 - 09 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 09 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 梅瑟 威利 , 5 分   超棒 , " 小熊猫 毛茸茸 超 可爱 ， 国家 二级 保护 动物 ， 小熊猫 科 ， 小熊猫 属 。 结果 旁边 一群 人 说 是 浣熊 。 还有 家长 一本正经 的 给 孩子 说 小熊猫 长大 变成 黑白 的 就是 大熊猫 。 
 
 都 给 我 听 笑 了 。 
 另外 ， 景区 礼品店 价格 略 离谱 。 " , 2021 - 07 - 13IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 07 - 13IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 sh * * * * dy , 5 分   超棒 , 巨 好玩 ， 那 就是 大熊猫 的 家 ， 满满的 主场优势 ， 别的 动物园 看到 的 都 是 客居 他 乡 的 感觉 ， 只有 这里 才 是 团团 的 家 🏠 , 2021 - 05 - 07IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 05 - 07IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M21 * * * * 592 , 5 分   超棒 , 熊猫 太 可爱 了 (   ˃ ̶ ̤ ́   ꒳   ˂ ̶ ̤ ̀   ) ， 可惜 小熊猫 躲起来 了 看不到 ！ , 2021 - 05 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 05 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 Superkz 康康 , 5 分   超棒 , 性价比 高 ， 去 了 大熊猫 的 基地 ， 很 开心 第一次 来 玩   和 小伙伴 们 一起 ， 打开 拍照 留念   不过 正好 下雨天   熊猫 一些 在 睡觉 一些 在 休息   建议 晴天 来 玩   熊猫 就 可以 出来 活动 了 , 2021 - 04 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 04 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 DYvonne , 5 分   超棒 , 带 父母 还有 孩子 去 看 了 大熊猫 ， 老人 和 孩子 都 非常 满意 ， 一圈 逛下来 也 不是 很累 ， 慢悠悠 就 逛 完 了 。 熊猫 还是 非常 可爱 的 ， 尤其 是 月亮 产 房里 的 小熊猫 也 太 可爱 了 , 2020 - 11 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 11 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 泰尔 瑞雪 , 5 分   超棒 , 胖达 实在 是 太萌 了 ， 物有所值 。 游览 安排 ： 建议 7 点 之前 到达 ， 7 点半 进场 马上 做 观光车 到 月亮 产房 看 大熊猫 婴儿 ， 基本 能 避开 人潮 。 然后 顺着 1 号 别墅 _ 2 号 别墅 _ 幼年 大熊猫 _ 成年 大熊猫 的 顺序 去 参观 。 , 2020 - 10 - 29IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 10 - 29IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 170 * * * * 773 , 5 分   超棒 , 春熙路 打车 过去 也 才 三十几块 钱 吧 ， 第一次 那么 近距离 看 熊猫 ， 是 千真万确 的 可爱 ( ๑ •   .   • ๑ ) ！ ！ ！ 值得 一去 的 , 2020 - 09 - 30IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 09 - 30IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 杨忠利 , 5 分   超棒 , 很 好 很 好 ， 不仅 适合 带 孩子 ， 大人 去 也 很棒 ， 服务 很 好 ， 逛 一圈 半天 时间 ， 就是 私家车 不让 到 门口 ， 只能 是 出租车 。 有趣 好玩 ， 景色 不错 ， 值得 推荐 ， 体验 很 好 ， , 2020 - 09 - 26IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 09 - 26IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 e38 * * * * 13 , 1 分   不佳 , 今天 成都 室外 温度 37 但体 感有 40 度 ， 太阳 晒 腿 上 都 有 痛感 ， 打 的 到 新区 门口 下车 还要 走 一 两百米 到 游客 中心 ， 游客 中心 买好 票要 再 走 一百多米 到 景区 入口 ， 全程 都 是 大 广场 那种 完全 没有 遮阳 的 。 景区 入口 下去 排队 坐 景区 区间车 ， 几百人 等 三辆 车 ， 排队 45 分钟 等到 了 区间车 ， 到 1 号 别墅 一根 熊猫 毛 都 没 看到 ， 去 月亮 产房 看到 两只 小熊猫 和 三只 大 一点 的 ， 拍照 只能 拍 一张 ， 再 拍 一张 后面 工作人员 就 很 凶 了 ， 嫌 我们 浪费时间 。 从 月亮 产房 出来 就 再也 没有 兴致 玩 了 ， 直接 坐 区间车 去 门口 出 景区 ， 总之 做 了 一次 大冤种 。 非常 非常 不 推荐 来 ， 这 地方 营销 太 厉害 。 , 2022 - 07 - 05IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2022 - 07 - 05IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 M59 * * * * 61 , 5 分   超棒 , 熊猫 很 可爱 ， 很 值得 一去 ， 凉糕 也 好吃 ， 景区 还有 游览车 ， 也 很 方便 , 2021 - 11 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 11 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 大 的 皮卡 , 5 分   超棒 , 没 啥 说 的 ， 就是 为了 带 小孩 去 ， 西安 到 成都 太 方便 了 ， 走 了 高铁 后 。 四个 小时 就 到 了 。 大人 可能 没 啥 太 多 的 感觉 ， 但是 小孩 一定 很 喜欢 。 值得 一去 ， 可以 常 来 。 , 2021 - 10 - 30IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 10 - 30IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 clarklujunze , 5 分   超棒 , 出票 快 ， 不用 换票 ， 刷 身份证 直接 进 ， 非常 方便 。 胖达 简直 萌翻 啦 。 , 2021 - 10 - 27IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 10 - 27IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M18 * * * * 169 , 5 分   超棒 , 非常 好玩 ， 也 挺 有趣 的 , 2021 - 10 - 15IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 10 - 15IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M45 * * * * 0043 , 5 分   超棒 , 熊猫 超级 可爱 到处 都 是 竹林 ， 记得 早上 过去 趁 熊猫 宝宝 还 没 睡觉 ！ ！ , 2021 - 09 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 09 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 🇨 🇳   逐梦 前行 🇨 🇳 , 5 分   超棒 , 自驾车 很 方便 ， 停车场 位置 多 ， 费用 也 不贵 ， 大熊猫 太 可爱 了 ， 呆 萌呆萌 的 ， 建议 上午 早点 去 ， 熊猫 要 午休 ， 看不到 活动 ， 因为 都 是 上下 山坡路 ， 建议 轻装 减行 , 2021 - 09 - 06IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 09 - 06IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 悄悄话 悄悄 情 , 5 分   超棒 , 带 着 孩子 不到 八点 就 入园 了 ， 看到 了 憨 憨 可爱 各种 姿态 的 大熊猫 和 熊猫 宝宝 ， 孩子 们 很 开心 ， 终于 见到 了 活生生 的 国宝 ， 还 在 景区 带 了 十几个 熊猫 娃娃 送 朋友 ！ , 2021 - 07 - 18IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 07 - 18IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 刘 大龙 100 , 5 分   超棒 , 非常适合 亲子 和 家庭 游玩 ！ 去 看 大熊猫 一定 要 选好 时间 点 。 要不然 大多数 熊猫 都 在 睡觉 哦 ！ , 2021 - 06 - 13IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2021 - 06 - 13IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 帝都 神座 , 5 分   超棒 , 去 的 时间 再 早些 就 更好 了 一半 的 猫熊 都 在 睡觉 。 小 浣熊 还 比较 活跃 ， 在 游客 脚下 大摇大摆 的 穿行 而 过 ， 可爱 至极 ！ , 2021 - 05 - 20IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 05 - 20IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 赵 - 阿姨 , 5 分   超棒 , 总体 超赞 ， 性价比 高 ， 有趣 好玩 ， 景色 不错 ， 大熊猫 超级 可爱 ， 可以 看见 很多 只 哦 ， 就是 天鹅湖 里 没 看见 天鹅 🦢 , 2021 - 04 - 27IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 04 - 27IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 _ WeCh * * * * 64092 , 5 分   超棒 , 给 家人 买 的 熊猫 玩具 被 他们 弄 丢 了 ， 他们 光顾 着 拍 熊猫 打架 了 。 唉 ， 真是 好 可惜 那个 熊猫 公仔 啊 。 某些 人 的 素质 的确 需要 提高 啊 ！ 基地 里面 的 熊猫 跟 外面 比是 有点 贵 ， 我 自己 还 不 舍得 买 的 。 好 可爱 好 可爱 的 ， 大大的 眼睛 毛毛 很 柔软 ， 不要 在 外面 买 公仔 哟 ， 外面 熊猫 公仔 是 小 眼睛 。 , 2021 - 04 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2021 - 04 - 11IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 HuangWayne , 5 分   超棒 , 景色 不错 ， 有趣 好玩 ， 当 大家 看到 我 的 这 一篇 评价 时 ， 表示 我 对 酒店 是 认可 的 ， 尽管 我 此刻 的 评论 是 复制粘贴 的 。 这 一方面 是 为了 肯定 商家 的 服务 ， 另一方面 是 为了 节省 自己 的 时间 ， 因为 差评 我会 直接 说 为什么 的 。 所以 大家 就 当做 是 产品质量 合格 的 意思 来看 就行了 。 最后 祝 店家 越做越 好 , 2021 - 01 - 27IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2021 - 01 - 27IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 110 * * * * 835 , 5 分   超棒 , 呆 萌呆萌 的 熊猫 宝宝 ， 非常 可爱 。 去 的 时候 刚好 饭点 ， 饲养员 使劲 了 法宝 ， 又 是 蜂蜜 又 是 抱抱 ， 才 哄 得 熊猫 下 树 吃饭 。 现在 很多 人 围观 。 总体 超赞 ， 有趣 好玩 ， , 2020 - 12 - 04IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 12 - 04IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 野寶寶 , 5 分   超棒 , 说 真 ， 真的 建议 园区 可以 规划 一下 景区 停车场 ， 外边 周围 的 人 都 在 不停 拉 停车 生意 ， 也 有 私家车 拉生意 ！ 不过 交通 还是 蛮 不错 ， 门口 就 有 公交车 ！ 另外 建议 坐 园区 的 电瓶车 ， 这样 可以 省 时间 省 体力 ， 还 不贵 , 2020 - 11 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 11 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 牛牛 221 , 4 分   满意 , 避开 节假日 去 还是 很 好 的 ， 但是 熊猫 没有 想象 的 多 ， 以为 熊猫 基地 会 有 好多 大熊猫 ， 但是 就 看到 不到 十几只 吧 ， 好多 场地 的 熊猫 都 不 在 。 小熊猫 也 不太多 ， 还好 门票 50 的 价格 还 算 合理 ， 如果 贵 了 就 不值 了 , 2020 - 11 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 11 - 14IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 牛牛 牛牛 牛 哞 哞 , 5 分   超棒 , 萌萌 哒 大熊猫 ， 不虚此行 ！ 一定 要 先 坐车去 月亮 产房 ， 然后 往 下 游玩 有趣 好玩 ， 性价比 高 ， 景色 不错 ， 总体 超赞 ， , 2020 - 10 - 21IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 10 - 21IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 乖小咪 , 5 分   超棒 , 成都 的 四川 大熊猫 繁衍 基地 是 来 成都旅游 一定 要来 的 著名景点 ， 这里 生活 着 60 多只 大熊猫 ， 分为 20 多个 展馆 。 你 可以 看到 像 小老鼠 一样 的 幼崽 ， 也 有 成年 的 大熊猫 ， 另外 还有 小熊猫 会 与 你 有 亲密 的 接触 ， 真的 非常 不错 ， 寓教于乐 ， 特别 受欢迎 。 , 2020 - 07 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 3 " ,  , 2020 - 07 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 3 " ,  
 正版 代号 老 K , 1 分   不佳 , 人山人海 ， 熊猫 根本 没法 好好看 ， 从头到尾 都 在 看 人 。 人多 也 就算 了 ， 大热天 不 给 观众 防暑降温 措施 ， 只 给 熊猫 吹 空调 ， 简直 反 人类 ！ , 2022 - 07 - 15IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2022 - 07 - 15IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 想想 大 橙子 , 5 分   超棒 , 太太 太太 太太 可爱 了 , 2021 - 11 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 11 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 陪伴 是 最长 告白 , 5 分   超棒 , 适合 带娃 一起 去 ， 尽量 上午 十点 半 之前 逛 完 ， 迟 了 熊猫 都 睡着 了 ！ , 2021 - 10 - 08IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 10 - 08IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 FPS _ miao , 5 分   超棒 , 滚滚 太 可爱 了   买 纪念品 的 地方 和 休息 的 咖啡馆 还 能 多一些   最好 有 吃 简餐 的 餐厅   个性化 的 熊猫 定制 套餐 一定 吸引 人 , 2021 - 07 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 07 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M22 * * * * 1539 , 5 分   超棒 , 带 孩子 ， 老人 值得 去 ， 小 周 导游 细心 、 耐心 、 亲 和 。 建议 去 就 直接 可以 找小周 😃 。 两个 帅哥 玩 的 不亦乐乎 😀 , 2021 - 07 - 18IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 07 - 18IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 gygsegcsshbiircnj , 4 分   满意 , 交通 还是 挺 便利 的 ， 但是 下午 4 ： 30 之后 就 没法 坐 大巴 会 地铁口 了 ， 晕 ， 只能 坐车到 春熙路 下 ！ 里面 是 天然 氧吧 ， 熊猫 都 在 睡 瞌睡 ， 吃 竹子 ， 憨憨的 ～ 没有 熊猫 幼崽 ， 所以 觉得 熊猫 看多 了 也 就 那样 吧 ～ , 2021 - 06 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 06 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 帕特里克 先生 , 4 分   满意 , 熊猫 没有 想象 中 那么 多 … 景区 路线 规划 有待 提高 … 进来 就是 看 大熊猫 了解 大熊猫 科普性 再 强点 就 更好 了 … 园中 还有 小熊猫 … 票价 还是 可以 的 如果 再 高些 我 也 愿意 来 … 希望 大熊猫 可以 得到 更好 的 生活 环境 … , 2021 - 05 - 16IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 05 - 16IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 叶 笙箫 , 5 分   超棒 , 不错 ， 挺好玩 的 ， 大熊猫 很 可耐 ， 园区 整体 干净 整洁 ， 竹子 比较 多 ， 比较 好看 ， 比较 适合 一家人 一起 去 玩 ， 整体 还 不错 ， 赞 ， 小熊猫 被 借 走 了 要 不 应该 蛮 可爱 , 2021 - 05 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 05 - 10IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 Elvia1108 , 5 分   超棒 , 有趣 萌萌 哒 熊猫 宝宝   值得 一来   要 早 去   不然 他们 真的 都 睡 的 呼呼 呼 了 , 2021 - 05 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 05 - 09IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M26 * * * * 509 , 5 分   超棒 , 第二次 来 了 ， 非常 开心 ， 看 了 很多 第一次 没有 找到 的 熊猫馆 ， 可以 带 孩子 来 玩 ， 孩子 们 一定 会 喜欢 的 有趣 好玩 ， , 2021 - 05 - 04IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 05 - 04IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 TXYY214 , 5 分   超棒 , 有趣 好玩 ， 总体 超赞 ， 景色 不错 ， 性价比 高 ， 适合 带 小孩 来 ， 非常 不错 。 但 门口 的 出租车 请 大家 注意 ， 会 绕路 。 , 2021 - 05 - 04IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 05 - 04IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 136 * * * * 0837 , 5 分   超棒 , 成都 大熊猫 繁育 研究 基地 离 成都 市区 大约 20 公里 ， 7 : 30 开门 最好 等 开门 ， 乘 景区 摆渡 车到 大熊猫 月亮 产房 ， 9 : 00 以后 很难 看到 户外活动 的 小熊猫 。 , 2021 - 04 - 16IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 04 - 16IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M63 * * * * 744 , 5 分   超棒 , 去 的 那天 ， 天气 不错 ， 由于 时间 关系 只 走 了 三分之一 的 路程 就 出去 啦 ， 适合 带 小朋友 一起 玩耍 ， 那样 会 很 有趣 ！ , 2021 - 03 - 06IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 03 - 06IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 冬天 冰淇淋 , 5 分   超棒 , 🐼 🐼 🐼 超级 可爱 ☺ ☺ ☺ ☺   带 小朋友 去 看 增长 见识 与 认知   还有 浣熊 🦝 🦝 🦝   🦚 🦚 🦚 🦚 🦚 🦚 , 2020 - 12 - 26IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 12 - 26IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 过年 不 回家 , 5 分   超棒 , 以前 从没 见过 熊猫 ， 这次 是 把 一辈子 的 熊猫 都 看 完 了 ， 太精彩 了 。   不过 熊猫 怎么 没有 想象 中 那么 干净 ， 虽然 很萌 很 可爱 ， 要是 再 干净 点 就 好 了 。   一定 要 早点 去 , 2020 - 12 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 12 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M23 * * * * 9395 , 5 分   超棒 , 天然 氧吧 ， 从 市内 打车 过去 三十多块 钱 ， 交通 比较 便利 ， 风景 很 好 有趣 好玩 ， 总体 超赞 ， 景色 不错 ， 性价比 高 ， , 2020 - 11 - 08IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 11 - 08IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M22 * * * * 4299 , 5 分   超棒 , 体验 很 好 ， 值得 推荐 ， 有趣 好玩 ， 景色 不错 ， 被 国宝 们 萌化 了 ， 还有 小小的 糯米 团子 绝对 值得 去 ， 应该 说 到 了 成都 必须 去 ， 太萌 了 ， 我 一个 大 男人 都 被 萌到 了 , 2020 - 10 - 18IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 10 - 18IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 Xellos , 4 分   满意 , 不管 是 大熊猫 还是 小熊猫 都 还是 蛮 可爱 的   但是 要 早 去 中午 左右 熊猫 们 就 吃 完要 开始 睡觉 了 ， 就 没 啥 好看 的 了   整体 感觉 不错 ， 就是 感觉 和 游客 的 互动 体验 还是 差 了 点 ， 偏 科普 教育 不如 其他 主题乐园 那么 热闹 , 2020 - 10 - 18IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 10 - 18IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 138 * * * * 1502 , 4 分   满意 , 十一 期间 来 的 熊猫 基地 ， 人 很多 ， 可能 影响 了 体验 感 ， 来 这 一定 要 一 早就 来 ， 还是 能 看到 大熊猫 吃 东西 ， 小朋友 一定 会 很 喜欢 。 转 了 一圈 ， 出 门前 ， 在 门口 买 了 一杯 熊猫 奶茶 ， 好 可爱 ， 味道 也 还 算 不错 。 , 2020 - 10 - 18IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 10 - 18IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 yunying , 5 分   超棒 , 很 喜欢 ， 看 图 说话 ， 就是 有 发现 一只 熊猫 宝宝 有 严重 的 眼周 螨虫 病 ， 希望 园区 更好 好 的 治疗 ， 保护 熊猫 的 健康 。 , 2020 - 09 - 25IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2020 - 09 - 25IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 远方 的 想念 , 5 分   超棒 , 来 了 这么 多次 没有 踩 过雷 ， 非常 不错 ， 想来 的 可以 冲 了 来 了 这么 多次 没有 踩 过雷 ， 非常 不错 ， 想来 的 可以 冲 了 , 2022 - 02 - 20IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 02 - 20IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 M46 * * * * 6018 , 5 分   超棒 , 非常 好 ， 超级 喜欢 , 2022 - 01 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 01 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 SDDLGHK1168 , 5 分   超棒 , 借着 假期 过来 打卡 📍 ， 果然 没有 让 我 失望 ， 首先 很 喜欢 这里 的 环境 ， 其次 服务 也 很 到位 ， 总之 就是 很 满意 啦 , 2021 - 11 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 11 - 03IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 朱先生 ☀ ️ , 5 分   超棒 , 很 好玩 哦 ， 好 喜欢 , 2021 - 10 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2021 - 10 - 23IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
